FID,id1,aa,company,a_m,thesh,kal_dhmos,kal_dhm_enothta,kal_perif_enothta,kal_perifereia,epo,power_mw,katastash_code,katastash_descr,paratiriseis,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_AIOLIKA13.33727,33727,00482,ΕΝΕΡΓΕΙΑΚΗ ΣΤΥΡΩΝ ΕΥΒΟΙΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ (δ.τ. ΕΝΕΡΓΕΙΑΚΗ ΣΤΥΡΩΝ ΕΥΒΟΙΑΣ Α.Ε.),ΑΔ-00521,ΕΞΩΣΤΗΣ,ΚΑΡΥΣΤΟΥ,ΣΤΥΡΕΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,18.375,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-05-28,"MULTIPOLYGON (((24.31968435834063 38.17296869107899, 24.318479190105826 38.17411655978154, 24.31922213907424 38.174312818812375, 24.320217955933366 38.1748959236258, 24.32120506165755 38.17609189710604, 24.321978287301775 38.177973402122745, 24.321144009306323 38.18039104841616, 24.322469291327643 38.18057668008211, 24.323124591661298 38.179006696331484, 24.323971876155053 38.179545114564874, 24.32464366682 38.180120062064226, 24.325900633981615 38.17935952689834, 24.32475384507079 38.17822712327251, 24.323678943152377 38.177851563954626, 24.32277853825982 38.17561893037221, 24.32148157822409 38.174063316592566, 24.31968435834063 38.17296869107899)), ((24.323893854499765 38.17223615268043, 24.322951146615313 38.173338280375745, 24.32489808182812 38.17471183070131, 24.326512228427102 38.175689721901875, 24.328146342458943 38.17601863148524, 24.32932646731593 38.17694362034361, 24.331649286509688 38.17807266414031, 24.33274071458325 38.17705115925736, 24.33044066375368 38.17590404766726, 24.32918009714113 38.17486213220276, 24.32756912027564 38.1745962602193, 24.326597329497105 38.17429254007049, 24.325827876654067 38.17327625905205, 24.323893854499765 38.17223615268043)))"
V_SDI_R_AIOLIKA13.33582,33582,Γ-05898,ΕΡΑΤΩ ΕΝΕΡΓΕΙΑΚΗ ΙΚΕ,ΑΔ-03504,ΝΤΟΕΡΑ - ΨΗΛΩΜΑ,ΤΑΝΑΓΡΑΣ,ΔΕΡΒΕΝΟΧΩΡΙΩΝ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.99,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2014-12-10,2015-09-17,"MULTIPOLYGON (((23.554248043573743 38.16281531283649, 23.55635152494504 38.16230054999436, 23.556642394645177 38.15950776037693, 23.553323195935658 38.16098225366615, 23.554248043573743 38.16281531283649)))"
V_SDI_R_AIOLIKA13.33790,33790,Γ-05790,ΕΥΤΕΡΠΗ ΕΝΕΡΓΕΙΑΚΗ ΙΚΕ,ΑΔ-03380,ΜΕΓΑΛΟ ΒΟΥΝΟ - ΨΗΛΩΜΑ,ΤΑΝΑΓΡΑΣ,ΔΕΡΒΕΝΟΧΩΡΙΩΝ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.99,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2013-09-05,2014-04-30,"MULTIPOLYGON (((23.556653872791983 38.161382412554126, 23.5605798226944 38.16150531686241, 23.560696234065748 38.159225578743595, 23.55894469063699 38.15818257169797, 23.55685112347448 38.158967795427735, 23.556653872791983 38.161382412554126)))"
V_SDI_R_AIOLIKA13.32946,32946,Γ-03479,LITHOS AIOLOS ΕΝΕΡΓΕΙΑΚΗ ΑΕ,ΑΔ-03390,ΜΑΝΔΡΑ,ΑΡΡΙΑΝΩΝ,"ΟΡΓΑΝΗΣ,ΦΙΛΛΥΡΑΣ",ΡΟΔΟΠΗΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,ΝΑΙ,14.4,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2008-06-09,2014-06-04,"MULTIPOLYGON (((25.64253868838614 41.18837034412811, 25.63929496538386 41.190740472206905, 25.637804758483785 41.19075267060813, 25.637894207082724 41.196732293499075, 25.638406213902595 41.20052611717168, 25.643634393653972 41.2002354275509, 25.64330225281374 41.196493105612674, 25.644457675393113 41.19644058044409, 25.64445722459201 41.19642257215347, 25.644387437581862 41.1907759487164, 25.644385634815976 41.190703915479595, 25.64370415939821 41.190155188311685, 25.64253868838614 41.18837034412811)), ((25.647781837979615 41.18110754453998, 25.646069325187646 41.18556366944955, 25.64388486628869 41.1873693294587, 25.644293971852175 41.187994004652, 25.64513717303786 41.18928803021973, 25.644704939203777 41.18964549243427, 25.644495941017635 41.19272899869557, 25.645984158436548 41.192635675570834, 25.645996339886786 41.19312189934561, 25.64916106941379 41.191410253173444, 25.652794094095967 41.188412752817, 25.654998886760325 41.18268842451017, 25.647781837979615 41.18110754453998)))"
V_SDI_R_AIOLIKA13.36153,36153,Γ-00936,C.N.I. AIOΛΙΚΟ ΠΑΡΚΟ ΚΟΡΟΜΠΙΛΙ ΑΕ,ΑΔ-01455,ΚΟΡΟΜΠΙΛΙ,ΘΗΒΑΙΩΝ,"ΘΙΣΒΗΣ,ΠΛΑΤΑΙΩΝ",ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,21.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-04-27,2010-01-29,"MULTIPOLYGON (((23.07573445033981 38.19907467110154, 23.074113614891946 38.20081027972463, 23.07749132705178 38.20374783032347, 23.078531188950695 38.208235089785646, 23.085250886007884 38.20885541380074, 23.093834114702297 38.213950821566016, 23.094639245863984 38.214425671100706, 23.09562579795149 38.21501005999963, 23.095319640305984 38.21482745584872, 23.09996894452014 38.21759390777483, 23.101899718635508 38.215716121277076, 23.09555753176352 38.21129648329607, 23.084562233849212 38.20364997007196, 23.083271541205114 38.202747684407015, 23.07573445033981 38.19907467110154)))"
V_SDI_R_AIOLIKA13.33374,33374,Γ-04257,VIOTIA AIOLOS A.E.,ΑΔ-03032,ΚΟΡΟΜΠΙΛΙ,ΘΗΒΑΙΩΝ,"ΘΙΣΒΗΣ,ΠΛΑΤΑΙΩΝ",ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,28.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2009-12-10,2011-12-08,"MULTIPOLYGON (((23.159988649302417 38.23435096009139, 23.152578019920604 38.234919536031384, 23.152739963155867 38.23868782813341, 23.159146809493855 38.242960649628685, 23.15972325881303 38.245497219986355, 23.166423677883113 38.244166127025515, 23.159988649302417 38.23435096009139)), ((23.102026305598738 38.21935804122066, 23.099675503991687 38.224720346906345, 23.106017691403707 38.22645411066806, 23.1087238852318 38.2265738249366, 23.109134038079024 38.22666706101487, 23.110460092356757 38.22941684033603, 23.10962074535617 38.231726622318796, 23.11998445463661 38.2297680137202, 23.120393223571185 38.22618420172083, 23.116466546569864 38.22590236789964, 23.114571507752846 38.22201281931755, 23.109946412153537 38.22094143186852, 23.107423078320494 38.22083214947936, 23.102026305598738 38.21935804122066)))"
V_SDI_R_AIOLIKA13.36245,36245,00157,ΑΙΟΛΙΚΗ ΕΝΕΡΓΕΙΑΚΗ ΓΚΟΥΡΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ (δ.τ. ΑΙΟΛΙΚΗ ΓΚΟΥΡΑ ΑΕ),ΑΔ-00650,ΑΧΛΑΔΟΤΟΠΟΣ/ΝΤΑΡΔΙΖΑ/ΓΚΟΥΡΑ ΛΟΥΤΣΑ,ΚΑΡΥΣΤΟΥ,ΣΤΥΡΕΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,25.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-16,2004-02-10,"MULTIPOLYGON (((24.28199822178706 38.17005503323714, 24.285586809812514 38.17105576897569, 24.299742783249595 38.170984442336795, 24.301848606481695 38.1722498198281, 24.307616669547947 38.17017998952738, 24.316346688572434 38.17204042331507, 24.318706777985216 38.17394470387208, 24.319434965474873 38.17337493461312, 24.31688013581226 38.171317980638676, 24.30752174379478 38.16932404476621, 24.301981736095428 38.17131217137784, 24.300081944105884 38.17017244565499, 24.28576630276386 38.17024420155626, 24.282337749392767 38.169288149327734, 24.28199822178706 38.17005503323714)))"
V_SDI_R_AIOLIKA13.33607,33607,Γ-05845,ΕΛΛΑΚΤΩΡ Α.Ε.,ΑΔ-03443,ΟΡΦΕΑΣ - ΕΠΤΑΔΕΝΔΡΟΣ,"ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΡΡΙΑΝΩΝ,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ","ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΡΡΙΑΝΩΝ,ΣΑΠΩΝ","ΕΒΡΟΥ,ΡΟΔΟΠΗΣ",ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,ΝΑΙ,28.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2014-03-10,2014-10-23,"MULTIPOLYGON (((25.85822692337863 41.06436631499793, 25.86431693511755 41.06593429423706, 25.87224020688854 41.06540947580692, 25.864713556374458 41.05891110186821, 25.862465985107914 41.05896547314087, 25.861624569764135 41.05697942533906, 25.864551732980257 41.0544460409776, 25.86180615530697 41.05033801838574, 25.86184404104959 41.0495717745428, 25.86508851680611 41.0494382312451, 25.865919102405662 41.046830642627974, 25.8660083250698 41.04619867733184, 25.865515083803686 41.04558515183118, 25.863084665929676 41.04462465301633, 25.853568940780434 41.04597612281945, 25.849789373578922 41.04144306739041, 25.84151094559618 41.03980120805338, 25.839531046555962 41.04132807339782, 25.83351513606382 41.041469001036795, 25.833314919071025 41.045399439589495, 25.840300284570702 41.04417115310957, 25.855370213338123 41.051648837731456, 25.85534058400445 41.06033247435384, 25.85822692337863 41.06436631499793)))"
V_SDI_R_AIOLIKA13.34347,34347,Β-00336,ΑΙΟΛΙΚΗ ΑΝΑΤΟΛΙΚΗΣ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ (δ.τ. ΑΙΟΛΙΚΗ ΑΝΑΤΟΛΙΚΗΣ ΕΛΛΑΔΟΣ Α.Ε.),ΑΔ-00417,ΠΥΡΓΑΡΙ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΔΥΣΤΥΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,9.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.18899622355516 38.361999037078746, 24.19276323106091 38.362443519091286, 24.195280562428998 38.353598298019584, 24.19155825830985 38.35257703569673, 24.18899622355516 38.361999037078746)))"
V_SDI_R_AIOLIKA13.33705,33705,00483,ΑΙΟΛΙΚΗ ΑΝΑΤΟΛΙΚΗΣ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ (δ.τ. ΑΙΟΛΙΚΗ ΑΝΑΤΟΛΙΚΗΣ ΕΛΛΑΔΑΣ ΑΕ),ΑΔ-00471,ΒΟΥΡΕΖΑ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΔΥΣΤΥΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,7.2,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.201869577544098 38.34416928424168, 24.20062015614487 38.343414394163595, 24.198941736388935 38.344787124532715, 24.193564717555997 38.34533686125719, 24.1896647238141 38.34621742742214, 24.18999958269077 38.347361448403994, 24.192893559606876 38.346852034843245, 24.199734532054904 38.345948364740835, 24.201869577544098 38.34416928424168)))"
V_SDI_R_AIOLIKA13.36370,36370,Γ-00893,ΑΙΟΛΙΚΟ ΠΑΡΚΟ ΜΑΚΡΥΛΑΚΚΩΜΑ ΑΕ,ΑΔ-01098,ΜΑΚΡΥΛΑΚΚΩΜΑ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,"ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΟΙΤΥΛΟΥ",ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,29.9,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-03-29,2008-05-22,"MULTIPOLYGON (((22.43024468075784 36.59983547099916, 22.43295362726224 36.6004339888237, 22.434447450589563 36.59715793575123, 22.4345949727331 36.59500207818764, 22.43580431755406 36.59490077598867, 22.435514169548043 36.59266148755192, 22.434517738503413 36.592738542283044, 22.434266284298534 36.590871740936564, 22.43439664656522 36.58987950315463, 22.431619181751742 36.58959058961213, 22.43145918248853 36.59086847614514, 22.43186525887307 36.59400168790266, 22.43167661393378 36.59669439837459, 22.43024468075784 36.59983547099916)), ((22.431829526515937 36.58803392999199, 22.434582584939744 36.58842167192391, 22.435375889302026 36.58582332749235, 22.435075490357896 36.583939153221, 22.434731849218743 36.581701861521665, 22.431963031107223 36.58198726688421, 22.43230910065925 36.584218287738324, 22.432539281506187 36.58569190172806, 22.431829526515937 36.58803392999199)), ((22.439646369406145 36.59231207900029, 22.442454526968525 36.59217550160982, 22.442022302769704 36.59032197303367, 22.441510665230496 36.58630403280002, 22.438733941575574 36.586538110433395, 22.43925216119836 36.5906500463722, 22.439646369406145 36.59231207900029)), ((22.43569340609587 36.61035836137027, 22.438073402840114 36.61154337821156, 22.439542380038333 36.609627741824575, 22.439557185564116 36.60671328093976, 22.440067887242485 36.60375430144422, 22.440353473375254 36.5999271332528, 22.43753300544048 36.60008849234455, 22.437438862980127 36.60143034731578, 22.437284614107913 36.60353304419097, 22.43676700188317 36.60655005143822, 22.43675160784855 36.608980000150886, 22.43569340609587 36.61035836137027)))"
V_SDI_R_AIOLIKA13.36375,36375,Β-00175,ΑΙΟΛΙΚΗ ΕΥΒΟΙΑΣ - ΠΟΥΝΤΑ Α.Ε.,ΑΔ-00411,ΠΟΥΝΤΑ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΑΥΛΩΝΟΣ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,11.2,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.225428433822763 38.52644239956935, 24.226160047948696 38.525749935663534, 24.22274908663045 38.523583343033444, 24.220208659941253 38.52270563328114, 24.218667133897995 38.52250597865307, 24.215420913577272 38.523631871147835, 24.216038205938833 38.52439148034546, 24.218894591747002 38.523463367475294, 24.220037022982048 38.52359660090241, 24.22103436366146 38.52395194657713, 24.222325088495644 38.524420397969415, 24.22542842718166 38.526442395242576, 24.225428433822763 38.52644239956935)), ((24.21361429814672 38.518484293833595, 24.21444576023935 38.520079144713094, 24.214773604968986 38.520041344599605, 24.215075366603852 38.51996030752864, 24.215354202960697 38.51983745332018, 24.215563939759996 38.5197048362832, 24.21555542897948 38.51969250129438, 24.21462953612479 38.51806478954437, 24.21361429814672 38.518484293833595)), ((24.21772470195554 38.51790435561048, 24.21612913250374 38.51921962441723, 24.216353875123477 38.51948047841717, 24.2166809178849 38.519713640948304, 24.216961528691677 38.519839631996135, 24.218465090555565 38.518592698064424, 24.21772470195554 38.51790435561048)))"
V_SDI_R_AIOLIKA13.33351,33351,Γ-00453,ENEL GREEN POWER HELLAS AE,ΑΔ-00610,ΠΡΟΦΗΤΗΣ ΗΛΙΑΣ,ΛΟΚΡΩΝ,ΟΠΟΥΝΤΙΩΝ,ΦΘΙΩΤΙΔΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2003-04-03,2003-12-22,"MULTIPOLYGON (((23.208271998499974 38.54134081211674, 23.21259051471226 38.541040436891386, 23.215289890112757 38.540823203971264, 23.21815833699815 38.541595531607854, 23.219200551477428 38.53943721415373, 23.215194070277956 38.53861021840127, 23.212256607770467 38.538684634519406, 23.20823838488822 38.538939958018425, 23.208271998499974 38.54134081211674)))"
V_SDI_R_AIOLIKA13.36899,36899,Γ-03778,ΑΙΟΛΙΚΗ ΕΠΙΜΟΡΦΩΤΙΚΗ ΤΕΜΠΩΝ ΜΟΝ. Α.Ε.,ΑΔ-02248,ΚΑΡΑΓΙΑΝΝΗ ΤΡΙΚΑΡΗ - ΚΟΚΚΙΝΟΧΩΜΑ,ΤΕΜΠΩΝ,ΜΑΚΡΥΧΩΡΙΟΥ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΝΑΙ,1.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2009-02-10,2010-10-27,"MULTIPOLYGON (((22.518975478015967 39.845607688608794, 22.51943106908253 39.84616308072272, 22.52005470684375 39.846513398203605, 22.5205312789729 39.84663660061723, 22.520939482236564 39.84667784433072, 22.524455727764316 39.84403781434853, 22.52444219284099 39.843578160400554, 22.52426488265131 39.84312543233078, 22.52396880199939 39.84276128713721, 22.523738779328358 39.842587180333645, 22.523519477459708 39.842458256779594, 22.522779116848007 39.84264703820607, 22.518975478015967 39.845607688608794)))"
V_SDI_R_AIOLIKA13.36900,36900,Γ-03142,ΔΕΛΤΑ ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΔΥΤΙΚΗΣ ΠΕΛΟΠΟΝΝΗΣΟΥ ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε,ΑΔ-01995,ΑΜΥΓΔΑΛΙΤΣΑ,ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ,"ΝΕΣΤΟΡΟΣ,ΠΑΠΑΦΛΕΣΣΑ",ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,12,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2007-12-10,2010-10-07,"MULTIPOLYGON (((21.7556101480574 37.09450835310505, 21.75703232105338 37.09473354422442, 21.758420606564766 37.091145852559684, 21.75951602502582 37.091004339497424, 21.761150012269653 37.08976446906139, 21.76010526608967 37.08818559425723, 21.760053768370465 37.088788449360926, 21.759003290876052 37.08969686795163, 21.75718449578782 37.08957234637018, 21.7556101480574 37.09450835310505)), ((21.761748532589404 37.08777502698542, 21.76319763618506 37.081340508920455, 21.765638114403956 37.07714169843238, 21.765640606056294 37.07514099562248, 21.76516899489527 37.075114081865266, 21.762098979424056 37.08006705443003, 21.76039614334619 37.08403639005673, 21.760141807097778 37.08770862953278, 21.761748532589404 37.08777502698542)))"
V_SDI_R_AIOLIKA13.36699,36699,Α-00261,ΑΙΓΑΙΟΗΛΕΚΤΡΙΚΗ ΣΤΑΥΡΟΥ ΕΛΙΚΩΝΟΣ ΑΕ,ΑΔ-00040,ΣΤΑΥΡΟΣ ΟΡΟΣ ΕΛΙΚΩΝΑ,ΛΕΒΑΔΕΩΝ,ΚΟΡΩΝΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.42,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2011-06-18,"MULTIPOLYGON (((22.850619688367917 38.301615995830325, 22.850619688367917 38.301615995830325, 22.8508207976544 38.30170092515677, 22.85104275018402 38.30174038387259, 22.85132786920371 38.30175342956669, 22.851632185067732 38.301734802929644, 22.851866365494274 38.301674643005235, 22.852001228303898 38.3016060541556, 22.852138885279654 38.301510460806334, 22.852213059846864 38.30141820435632, 22.85225300178435 38.30133665555474, 22.85225488282617 38.30121727610393, 22.852254703035797 38.3011208304483, 22.852240800435613 38.30101588367522, 22.852240800435613 38.30101588367522, 22.85190606339436 38.300818445720665, 22.851684113366076 38.3007196168729, 22.851403086040253 38.3006427091934, 22.851403086040253 38.3006427091934, 22.84939879251525 38.300455651248825, 22.846379688238866 38.30194093951368, 22.845174062093157 38.30238780016431, 22.84532386176175 38.30341439189473, 22.845954270585228 38.30407526002544, 22.847024076710387 38.30354419974194, 22.850619688367917 38.301615995830325)))"
V_SDI_R_AIOLIKA13.36698,36698,Α-00259,ΑΙΓΑΙΟΗΛΕΚΤΡΙΚΗ ΠΑΛΑΙΟΒΟΥΝΑ ΣΥΜΜΕΤΟΧΩΝ Α.Ε. & ΣΙΑ Ο.Ε.,ΑΔ-00031,ΠΑΛΑΙΟΒΟΥΝΑ,ΛΕΒΑΔΕΩΝ,ΚΟΡΩΝΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,3.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-06-18,"MULTIPOLYGON (((22.86472544322567 38.29694678200942, 22.864003883238293 38.29664995596545, 22.862648024260952 38.296701950915676, 22.861483196320716 38.297383446849054, 22.861105896924936 38.29807389527349, 22.86104429571429 38.29854036216233, 22.86007319637431 38.298964327070905, 22.85941678919567 38.299783315493066, 22.859655941314223 38.30124643582096, 22.86100677986748 38.30214232621631, 22.863008010742178 38.30194274865634, 22.863838581008224 38.30114589186382, 22.864070893285543 38.30027424789364, 22.865740950434468 38.29903432897467, 22.86568511406266 38.29781366937582, 22.86472544322567 38.29694678200942)), ((22.852254712233698 38.301120801171464, 22.85225300178435 38.30133665555474, 22.852213059846864 38.30141820435632, 22.853599777765307 38.3023111299579, 22.85493379496124 38.30230002109741, 22.856008162101578 38.301785429227486, 22.856510913757873 38.30118745878886, 22.857722613616197 38.30055305445527, 22.85799513449801 38.29979118807677, 22.857539448177825 38.29890994290986, 22.85669323845704 38.298512003627295, 22.85547583391849 38.29862910939312, 22.855217423798386 38.29873413943848, 22.854163568607085 38.29859168356149, 22.85294941690807 38.29890871951267, 22.852339938869093 38.29946215428393, 22.85190606339436 38.300818445720665, 22.852240800435613 38.30101588367522, 22.852254712233698 38.301120801171464)))"
V_SDI_R_AIOLIKA13.32913,32913,Β-00272,ΔΕΗ ΑΝΑΝΕΩΣΙΜΕΣ ΑΕ,ΑΔ-00206,ΤΗΓΑΝΙ,ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,1.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-12-04,"MULTIPOLYGON (((25.457611511895184 37.47125643014631, 25.457580928322038 37.47134693650314, 25.457528208724458 37.471438887617275, 25.457450021250825 37.47152376230336, 25.45736896777502 37.47158334603224, 25.457276377056665 37.471625316594, 25.456996148915056 37.471630575352336, 25.456864394696733 37.47183958702556, 25.456786451825636 37.472041986524786, 25.456718507969093 37.47229347313477, 25.45674454882536 37.472306761532586, 25.456727276307976 37.47237817644044, 25.457722189118307 37.472745348079805, 25.458746587469268 37.47313377812751, 25.45907419006928 37.472802113771635, 25.45879763304501 37.47265321090505, 25.458416335475277 37.472188706766445, 25.458246807784764 37.47157895833911, 25.458138262984114 37.471455244154434, 25.457611511895184 37.47125643014631)), ((25.457713731077458 37.47102903522144, 25.457635712889083 37.47121575375661, 25.458177726852668 37.471420237669946, 25.458273094812608 37.471544520185, 25.45846890232577 37.472170392564166, 25.458838734296943 37.47262097798486, 25.45912374856153 37.47277446301432, 25.459436758400532 37.472599712219946, 25.45965638038149 37.4725539173569, 25.460168394254072 37.472435046265346, 25.459958948679965 37.471720451185824, 25.459680752924903 37.47173136932969, 25.459497768817517 37.47170722215612, 25.459242868308245 37.47163673537563, 25.457713731077458 37.47102903522144)))"
